transaction_id,customer_id,transaction_timestamp,transaction_amount,currency,merchant_id,merchant_category,payment_method,channel,device_type,device_id,ip_address,customer_age,customer_region,account_age_days,is_international,previous_fraud_flag,fraud_label
TXN8K2QCH,CUSTOPINAL,2023-01-15 02:07:00,7595.25,INR,MRCWJCNLM,Pharma,Net Banking,POS,iOS,DEVY4H1J4,46.225.84.180,26,Germany,3227,1,0,0
TXNZC2HD7,CUST5MKZQR,2023-05-21 11:52:00,12223.62,INR,MRC1H4MYI,Grocery,Debit Card,Mobile App,Android,DEVD2YY7Y,62.14.166.159,39,Singapore,1451,1,0,0
TXN9S74KP,CUSTZW6YS2,2023-02-04 14:53:00,6638.99,INR,MRC0EHQEX,Travel,Net Banking,Mobile App,Web,DEV0BYVV7,117.18.203.82,42,Germany,2617,1,0,0
TXNF2YQDE,CUSTHIGLS8,2023-12-16 20:27:00,40816.23,INR,MRCVYD38D,Electronics,Wallet,Online,iOS,DEVV68U9O,29.177.58.168,65,Singapore,2237,0,0,0
TXNLDYTDG,CUSTVFPPKK,2023-05-03 01:56:00,24751.62,INR,MRC65HXG6,Grocery,Wallet,Online,Web,DEV7F36H6,45.159.101.252,29,Germany,2003,0,0,0
TXN4QKYS1,CUSTAC47RQ,2023-01-07 07:02:00,13761.14,INR,MRCV4SHN1,Pharma,Credit Card,Mobile App,Android,DEV3F5UDA,151.212.107.34,32,Singapore,3522,0,0,0
TXN47ZGEN,CUSTYB88OP,2023-03-28 21:46:00,16702.45,INR,MRC9UVJZX,Grocery,Wallet,POS,iOS,DEVI3B76R,56.86.80.90,45,UK,740,1,0,0
TXND76SC9,CUST7NT6KK,2023-04-19 21:06:00,11668.87,INR,MRC4FA6DO,Fashion,UPI,POS,iOS,DEVLLC29U,216.33.169.62,37,USA,3277,1,0,0
TXN2MVYG6,CUSTHTRW4D,2023-06-19 20:33:00,6406.93,INR,MRCT5RW7O,Fashion,Debit Card,Mobile App,iOS,DEV9HJRDL,254.223.44.151,66,Germany,3552,1,0,1
TXNMOULHM,CUSTESEOF4,2023-02-05 19:49:00,25578.69,INR,MRCY368US,Travel,Debit Card,Mobile App,Android,DEVQUVLLN,47.195.22.6,49,Singapore,563,1,0,0
TXN12X4WW,CUSTHU78UD,2023-07-21 13:55:00,33801.56,INR,MRCGK24PX,Fashion,Credit Card,Mobile App,Tablet,DEVYAQ5MM,230.137.135.11,55,UAE,3434,1,0,0
TXNJWA6R8,CUSTAVWVWU,2023-12-20 23:11:00,11044.65,INR,MRCNYMKSN,Pharma,Debit Card,Mobile App,iOS,DEV1B0CFR,242.123.210.5,54,UAE,723,0,0,0
TXNTUZPWX,CUSTPGTVZP,2023-01-11 04:52:00,256356.28,INR,MRC7UV90A,Travel,Wallet,POS,iOS,DEVTXHKXG,67.239.127.183,49,India,2980,1,0,1
TXNDZNRVJ,CUSTF6K91B,2023-08-05 10:19:00,30497.04,INR,MRC9VM7Z8,Luxury,Net Banking,Mobile App,Android,DEVXCX2RY,228.12.115.70,53,Singapore,2969,1,0,0
TXNNN073Q,CUSTHI0PBE,2023-09-26 04:11:00,28348.53,INR,MRCQLGSD1,Luxury,Debit Card,Online,Web,DEVOJ1SUU,49.153.246.106,33,USA,2774,1,0,0
TXNPTYA15,CUSTI2Q1BO,2023-05-19 06:52:00,31412.55,INR,MRC57U7LG,Pharma,UPI,Online,iOS,DEVN0Y9WG,96.192.215.28,39,UAE,3426,1,0,0
TXNMCQCF1,CUSTOF6FHP,2023-07-24 01:42:00,11107.76,INR,MRCF3B3H5,Luxury,Wallet,Mobile App,iOS,DEVHSJFLB,19.220.4.176,68,Germany,2596,0,0,0
TXNR34QUI,CUSTND3YZE,2023-06-07 16:59:00,29570.13,INR,MRCBVDV1P,Travel,Debit Card,Online,iOS,DEVIJLRAG,106.114.193.91,26,UAE,1837,1,0,0
TXNCLUEUB,CUST9TJ0EB,2023-03-19 23:04:00,32795.15,INR,MRCDWVRVO,Travel,UPI,Online,Web,DEVME5CB6,48.19.15.107,41,UK,377,1,0,0
TXNIME130,CUSTMLPZX5,2023-10-29 15:39:00,28710.55,INR,MRC4FDPXG,Gaming,Credit Card,Mobile App,Web,DEVZ88Y4N,112.255.191.123,49,UAE,3210,1,0,0
